"county_fips","state","county","total_population","median_household_income","poverty_rate","median_age","median_gross_rent"
"06013","California","Contra Costa",1161458,125727,8.251568308449333,40.3,2322
"06015","California","Del Norte",27293,66780,11.622314844501442,40.8,1182
"06017","California","El Dorado",192299,106190,8.263656487028042,46.1,1626
"06019","California","Fresno",1012152,71434,18.673151230636044,33.2,1300
"06021","California","Glenn",28623,70487,12.356584782149644,35.9,1103
"06023","California","Humboldt",135418,61135,18.907093931987568,39.6,1249
"06025","California","Imperial",179319,56393,19.641722853862785,33.0,1012
"06027","California","Inyo",18803,72432,10.482818616789908,45.6,1140
"06029","California","Kern",910433,67660,19.047538458934827,32.4,1220
"06031","California","Kings",152830,68750,16.772867861847757,32.3,1228
"06033","California","Lake",68139,58738,16.675635276532137,44.2,1292
"06035","California","Lassen",31177,64395,13.675605788881013,37.8,1043
"06037","California","Los Angeles",9848406,87760,13.643018098759088,37.9,1893
"06039","California","Madera",158790,75496,19.864050326384504,34.6,1307
"06041","California","Marin",258765,142785,7.827817121555889,47.3,2584
"06043","California","Mariposa",17060,65378,13.893328597643995,51.6,1268
"06045","California","Mendocino",90709,64688,15.161434977578475,43.9,1325
"06047","California","Merced",285597,65044,18.4038478667498,31.8,1284
"06049","California","Modoc",8646,56648,20.276334435521964,49.0,818
"06051","California","Mono",13169,86953,11.037071078431373,40.3,1593
"06053","California","Monterey",435834,94486,12.581479466697207,35.3,1995
"06055","California","Napa",136070,108970,8.428584285842858,42.8,2141
"06057","California","Nevada",102452,84905,10.59142434696895,50.3,1635
"06059","California","Orange",3164063,113702,9.485842405883984,39.1,2352
"06061","California","Placer",412435,114678,6.7050595456435085,42.4,1991
"06063","California","Plumas",19607,64946,10.730168579997931,52.1,1034
"06065","California","Riverside",2449909,89672,11.061186961841587,36.7,1814
"06067","California","Sacramento",1584047,88724,12.615334884015095,37.2,1702
"06069","California","San Benito",66056,108289,7.794699969540055,35.9,1922
"06071","California","San Bernardino",2187816,82184,13.57370441422949,34.4,1706
"06073","California","San Diego",3282782,102285,10.352697290340359,37.1,2154
"06075","California","San Francisco",836321,141446,10.582881322583857,39.7,2419
"06077","California","San Joaquin",787416,88531,12.555379204453878,35.2,1633
"06079","California","San Luis Obispo",281486,93398,12.846981198265372,40.2,1899
"06081","California","San Mateo",745100,156000,6.491334958028704,40.6,2893
"06083","California","Santa Barbara",443975,95977,13.772857655073503,34.5,2050
"06085","California","Santa Clara",1903297,159674,6.864609510211955,37.9,2814
"06087","California","Santa Cruz",266021,109266,11.21779290228488,39.6,2172
"06089","California","Shasta",181554,71931,12.975765955898405,41.7,1267
"06091","California","Sierra",2731,60000,12.34333459931637,56.0,1181
"06093","California","Siskiyou",43834,55499,16.573389529929294,47.4,1043
"06095","California","Solano",450824,99994,9.692347788643497,39.1,2088
"06097","California","Sonoma",485642,102840,8.571028819990435,42.7,2093
"06099","California","Stanislaus",552250,79661,13.148439213392793,34.8,1528
"06101","California","Sutter",98971,75450,14.773213739679953,36.4,1364
"06103","California","Tehama",65520,61834,15.419291095467457,40.1,1159
"06105","California","Trinity",15886,53498,18.00139940207366,54.8,922
"06107","California","Tulare",475774,69489,17.757265815460414,31.9,1206
"06109","California","Tuolumne",54873,72259,10.71966915317126,48.8,1247
"06111","California","Ventura",838259,107327,9.017859300611422,39.4,2248
"06113","California","Yolo",217782,88818,16.264787793673086,32.3,1757
"06115","California","Yuba",83079,73313,15.31778804327848,33.9,1209
"08001","Colorado","Adams",524408,91387,9.415802805099762,34.6,1713
